audio_path,current_text,corrected_text,session_id,entry_id,start,end
audio/0001_2026-05-18_113503_c585a601_897p62-904p63.wav,とえいつもOKは俺の中では一寸をOKしますとは言いたくないんですけど そこってどうですかこれOK,とは言え一寸をOKは俺の中ではしますとは言いたくないんですけど そこってどうですかこれOK,2026-05-18_113503,c585a601,897.625,904.633
audio/0002_2026-05-18_113503_869d99aa_567p66-570p82.wav,水密性としては①として,①を水密性として,2026-05-18_113503,869d99aa,567.656,570.824
audio/0003_2026-05-18_113503_6f238a7a_573p44-575p81.wav,対外的には伝え,対外的には伝え,2026-05-18_113503,6f238a7a,573.438,575.806
audio/0004_2026-05-18_113503_2aebb318_1008p36-1009p61.wav,をってこと,をってこと,2026-05-18_113503,2aebb318,1008.36,1009.608
audio/0005_2026-05-18_173919_e2961ab1_112p47-120p50.wav,Roof-1eの吊子がスタンディングロックでも使えるのかなっていうところが ちょっと一番聞き上げたところでした ちょっと悪くどかったですけど,Roof-1eの吊子がスタンディングロックでも使えるのかなっていうところが ちょっと一番聞き上げたところでした ちょっと回りくどかったですけど,2026-05-18_173919,e2961ab1,112.469,120.501
audio/0006_2026-05-19_111136_c276f207_37p69-44p76.wav,今、菊地さん入ってるけど、ベンダー登録リストのルーフ1板金店、割当で自分の担当見てる。,今、菊地さん入ってるけど、ベンダー登録リストのRoof-1板金店、割当で自分の担当見てる。,2026-05-19_111136,c276f207,37.688,44.76
audio/0007_2026-05-18_113503_9b0ff51a_702p09-712p11.wav,モノクロームとしてのRoof-1eでの 違う違う 要はスタンディングロックに関しては自社でやっている,モノクロームとしてのRoof-1eでの 違う違う カナメはスタンディングロックに関しては自社でやっている,2026-05-18_113503,9b0ff51a,702.094,712.11
audio/0008_2026-05-18_113503_c6c1681d_713p34-723p36.wav,モノクロームが1eではやってないから ちゃんとRoof-1eでもこういう水密の試験ってやってるのって言われた時に ちゃんとやってますよって言えるようにします,モノクロームが1eではやってないから ちゃんとRoof-1eでもこういう水密の試験ってやってるのって言われた時に ちゃんとやってますよって言えるように,2026-05-18_113503,c6c1681d,713.344,723.36
audio/0009_2026-05-19_111136_0738aede_942p81-951p68.wav,これ菊地さんのせいじゃないので菊地さんに言うのはちょっとしんどいんだけどね 廣木さん頼むよっていう話なんだけど,これ菊地さんのせいじゃないので菊地さんに言うのはちょっとしんどいんだけどね 廣木さん頼むよっていう話なんだけど,2026-05-19_111136,0738aede,942.813,951.677
audio/0010_2026-05-18_173919_e03b349b_46p06-49p90.wav,Roof-1eを今回ちょっと提案していて,Roof-1eを今回ちょっと提案していて,2026-05-18_173919,e03b349b,46.063,49.903
audio/0011_2026-05-18_173919_d9cc5a8e_257p28-260p35.wav,Roof-1e用の吊子も,Roof-1e用の吊子も,2026-05-18_173919,d9cc5a8e,257.281,260.353
audio/0012_2026-05-18_173919_98aff3fe_265p27-270p61.wav,板金の厚みって0.35になってるんでしょうけ 0.4のままでしたっけRoof-1eって,板金の厚みって0.35になってるんでしたっけ 0.4のままでしたっけRoof-1eって,2026-05-18_173919,98aff3fe,265.266,270.61
audio/0013_2026-05-19_091201_7c3f2339_3743p81-3750p85.wav,本当は3月とかからやる予定でルーフィング式だけど多分4回とかはずれてますよね菊地さん,本当は3月とかからやる予定でルーフィング敷きだけで多分4回とかはずれてますよね菊地さん,2026-05-19_091201,7c3f2339,3743.813,3750.853
audio/0014_2026-05-18_173919_8ab9d4ae_166p97-173p78.wav,来週の役物だけはRoof-1eの役物って使えるのかな そりは使えるか別に関係ないですもんね,外周の役物だけはRoof-1eの役物って使えるのかな それは使えるか別に関係ないですもんね,2026-05-18_173919,8ab9d4ae,166.969,173.785
audio/0015_2026-05-18_113503_55052ab8_417p36-427p38.wav,あくまで正圧をかけても 屋根は負圧の影響を受けるっていう理解,あくまで正圧をかけても 屋根は負圧の影響を受けるっていう理解で、とくに,2026-05-18_113503,55052ab8,417.36,427.376
audio/0016_2026-05-18_113503_abda4d70_957p62-965p53.wav,今一寸に確か1.5寸以下にするとジョイント分に全部コーキングを打つっていうことにしているので見積もり上,今一寸に確か1.5寸以下にするとジョイント部に全部コーキングを打つっていうことにしているので見積もり上,2026-05-18_113503,abda4d70,957.625,965.529
audio/0017_2026-05-19_091201_d8945cf3_4145p70-4153p26.wav,IR1が入ってきてます これは菊地さんと ワンオンで話しているので ちょっと飛ばします,IR1が入ってきてます これは菊地さんと 1on1で話しているので ちょっと飛ばします,2026-05-19_091201,d8945cf3,4145.703,4153.255
audio/0018_2026-05-19_111136_498bb7ce_445p22-451p94.wav,ルーフィングの確認をして来週ですけども大丈夫ですよねって 大丈夫です遅れてないですっていうことあったんで,ルーフィングの確認をして来週ですけども大丈夫ですよねって確認をして、大丈夫です遅れてないですっていうことあったんで,2026-05-19_111136,498bb7ce,445.218,451.938
audio/0019_2026-05-19_091201_353a7c0d_124p72-129p65.wav,これって菊地さんなんか理由はあるんだっけ 上等用のシートが入ってないっていうのは,これって菊地さんなんか理由はあるんだっけ 城東用のシートが入ってないっていうのは,2026-05-19_091201,353a7c0d,124.719,129.647
audio/0020_2026-05-19_111136_5201e31c_2512p56-2517p49.wav,通常のアスファルトルーフィングで項目を分けてください というふうに指示が来ていました,通常のアスファルトルーフィングで項目を分けてください というふうに指示が来ていました,2026-05-19_111136,5201e31c,2512.562,2517.49
audio/0021_2026-05-19_091201_13c7aae3_3873p09-3878p02.wav,これたまちゃんっていうか菊地さんに対してもなんだけど,これたまちゃんっていうか菊地さんに対してもなんだけど,2026-05-19_091201,13c7aae3,3873.094,3878.022
audio/0022_2026-05-19_091201_2fdb49ce_3881p30-3886p83.wav,ルーフィングの調整とかっていうのは現場と直接もう定額とかだったらやってほしかったな,ルーフィングの調整とかっていうのは現場と直接もう定額とかだったらやってほしかったな,2026-05-19_091201,2fdb49ce,3881.297,3886.833
audio/0023_2026-05-19_111136_50302ebe_479p92-487p79.wav,ルーフィングの方は1週間くらいでなんとか1日ぐらいなら逮捕できるということで 返事をもらっています,ルーフィングの方は1週間くらいでなんとか1日ぐらいなら対応できるということで 返事をもらっています,2026-05-19_111136,50302ebe,479.921,487.793
