audio_path,current_text,corrected_text,session_id,entry_id,start,end
audio/0001_2026-02-13_213155_8a5b6aec_3338p77-3345p26.wav,あと屋根寸法を測るところは難しくて それ以外はできるんじゃないっていう気がして,あと屋根寸法を測るところは難しくて それ以外はできるんじゃないっていう気がして,2026-02-13_213155,8a5b6aec,3338.766,3345.262
audio/0002_2026-02-13_213155_b03a2f4c_2743p08-2750p66.wav,一回話聞いてみようかなのかっていう判断をまず最初に丸茂さんがやってるんですよね,一回話聞いてみようかなのかっていう判断をまず最初に丸茂さんがやってるんですよね,2026-02-13_213155,b03a2f4c,2743.078,2750.662
audio/0003_2026-02-13_213155_9ba7278f_3199p31-3201p97.wav,さきさんに使ってもらって,さきさんに使ってもらって,2026-02-13_213155,9ba7278f,3199.313,3201.969
audio/0004_2026-02-13_213155_b6996930_1189p64-1198p15.wav,ままだと平面寸法だけど この伏せっていうボタンを押したら 立面換算で実寸でパネルを,ままだと平面寸法だけど この伏せっていうボタンを押したら 立面換算で実寸でパネルを,2026-02-13_213155,b6996930,1189.641,1198.153
audio/0005_2026-02-13_213155_191f520c_1044p55-1049p70.wav,SPPのより精度は低いけど SPPよりいろいろなことができるっていう,SPPのより精度は低いけど SPPよりいろいろなことができるっていう,2026-02-13_213155,191f520c,1044.547,1049.699
audio/0006_2026-02-13_213155_25082a0c_990p95-994p19.wav,簡単な提案はもうSPP,簡単な提案はもうSPP,2026-02-13_213155,25082a0c,990.954,994.186
audio/0007_2026-02-13_213155_8650ce62_2218p38-2222p60.wav,ちょこちょこたまに調べてるのが 屋根小豆だから,ちょこちょこたまに調べてるのが 屋根小豆だから,2026-02-13_213155,8650ce62,2218.375,2222.599
audio/0008_2026-02-13_213155_4f4056b1_2597p67-2602p57.wav,施工パートナーの候補から問い合わせが来て、それに,施工パートナーの候補から問い合わせが来て、それに,2026-02-13_213155,4f4056b1,2597.671,2602.567
audio/0009_2026-02-13_213155_0d049dd9_3476p00-3479p84.wav,俺もたまたまいう,俺もたまたまいう,2026-02-13_213155,0d049dd9,3476.000,3479.840
audio/0010_2026-02-13_213155_8c03c61d_1005p53-1012p89.wav,あえて背景を言うと屋根の計測を自動でするツールを作りたくて,あえて背景を言うと屋根の計測を自動でするツールを作りたくて,2026-02-13_213155,8c03c61d,1005.532,1012.892
